།	punc -
གསུང་བ	n.v.fut.n.v.pres -
གསུང་བ་	n.v.fut.n.v.pres -
གསུང་བགྲོས་	n.count -
གསུང་འཕྲེང་བ	n.count -
གསུང་ཡིག་	n.count -
གསུང་ལུགས་	n.v.invar -
གསུངས	v.past -
གསུངས་	v.past -
གསུངས་པ	n.v.past -
གསུངས་པ་	n.v.past -
གསུངས་བ	n.v.past -
གསུམ	num.card -
གསུམ་	num.card -
གསུམ་པ	num.ord -
གསུམ་པ་	num.ord -
གསུམ་པོ	num.card -
གསུམ་པོ་	num.card -
གསུས་པ་བདེ་	n.count -
གསེང་	v.past -
གསེངས་	v.past -
གསེབ་	n.rel -
གསེར་	n.mass -
གསེར་གཡུ་	n.mass -
གསེར་སེ་	n.count -
གསོ་	v.fut.v.pres -
གསོ་བ་	n.v.fut.n.v.pres -
གསོག་པ་	n.v.fut.n.v.pres -
གསོད་	v.pres -
གསོད་པ	n.v.pres -
གསོད་པ་	n.v.pres -
གསོད་མཁན་	n.count -
གསོད་རྡོ་	n.count -
གསོད་ལུགས་	n.v.pres -
གསོན་	v.invar -
གསོན་པོ	adj -
གསོན་སྙིང་	n.count -
གསོལ	v.imp -	v.invar -
གསོལ་	n.count -	v.fut.v.pres -	v.invar -	v.past.v.pres -
གསོལ་བ	n.v.fut.n.v.pres -
གསོལ་བ་	n.v.fut.n.v.pres -
གསོལ་ཞིང་	n.count -
གསོལ་འདེབས་	n.count -
གསོས་	v.imp -	v.past -
གསོས་པ	n.v.past -
གསོས་པ་	n.v.past -
གི་	case.gen -	cv.gen -
གིན་	cv.cont -
གིས	case.agn -	cv.agn -
གིས་	case.agn -	cv.agn -	dunno -
གུག་	v.invar -
གུག་གེ་	adj -
གུག་པ་	n.v.invar -
གུང་ཐང་	n.prop -
གུང་ཐང་སྟོད་	n.prop -
གུང་ཐང་སྨད་	n.prop -
གུམ	v.past -
གུལ་བ་	dunno -
གུས་གུས་	n.count -
གུས་པ་	n.v.invar -
གེ་	cv.ques -
གེགས་	n.count -
གོ	cv.fin -	v.fut.v.pres -	v.past -
གོ་	cv.fin -	n.count -	v.invar -	v.past -	v.past.v.pres -
གོ་ཁ	n.count -
གོ་ག	n.count -
གོ་ཆོད་	n.count -
གོ་བ	n.v.invar -
གོ་བ་	n.v.invar -	n.v.past -
གོ་བཅད་མཐུ་	n.count -
གོ་འཕང་	n.count -
གོ་འཚམས་	n.count -
གོ་ཡུལ་	n.count -
གོ་རྟོགས་ཡིད་ཡུལ་	n.count -
གོ་ལོག་	adj -	n.count -
གོག་	v.invar -
གོག་པ་	n.v.invar -
གོང་	n.count -	n.rel -
གོང་མ	adj -
གོང་མ་	adj -
གོལ་པ	n.v.past.n.v.pres -
གོལ་ས་	n.v.invar -
གོས	n.count -
གོས་	n.count -	n.mass -	v.invar -	v.past -
གོས་དར་	n.mass -
གོས་པ་	n.v.invar -	n.v.past -
གོས་བེམ་པོ་	n.count -
གོས་ལྡང་	n.count -
གོས་ལྷམ་	n.count -
གོས་ཧྲུལ་	n.count -
གཽཏ་ཝ་རི་	n.prop -
གྱང་	n.count -
གྱད་རྡོ	n.prop -
གྱི	cv.gen -
གྱི་	case.gen -	cv.gen -
གྱི་ལིང་	n.prop -
གྱིན་	cv.cont -
གྱིས	case.agn -	cv.agn -	dunno -	v.imp -
གྱིས་	case.agn -	cv.agn -	dunno -	v.imp -
གྱུར་	v.past -
གྱུར་པ	n.v.past -
གྱུར་ཚད་	n.v.past -
གྱེན་	n.count -
གྱེས་	v.past -
གྱེས་པ	n.v.past.n.v.pres -
གྱེས་པ་	n.v.past.n.v.pres -
གྱོང་	n.count -
གྱོད་	n.count -
གྱོན	v.invar -
གྱོན་	v.fut.v.pres -	v.invar -	v.past.v.pres -
གྱོན་པ	n.v.past.n.v.pres -
གྱོན་པ་	n.v.past.n.v.pres -
གྱོན་རྒྱུ་	n.v.fut -
གྲ་པ་	n.count -
གྲག	v.invar -
གྲག་	v.invar -
གྲག་སྟོང་དབྱེར་མེད་གསུང་	n.count -
གྲགས	v.invar -
གྲགས་	v.aux -	v.invar -
གྲགས་པ	n.v.invar -	n.v.past -
གྲགས་པ་	n.v.invar -
གྲང་	v.past.v.pres -
གྲང་གྲི	n.count -
གྲང་ཆལ་	n.count -
གྲང་བ	n.v.invar -
གྲངས	v.pres -
གྲངས་	v.past.v.pres -
གྲངས་པ་	n.v.past.n.v.pres -
གྲངས་མེད་	adj -
གྲབས་	n.count -	v.imp -	v.invar -
གྲལ་	n.count -
གྲལ་དབུ་	n.count -
གྲལ་པ་	n.count -
གྲལ་འགབ་	n.count -
གྲི	n.count -
གྲི་ཁ	n.count -
གྲིབ་	n.count -
གྲིབ་མ་	n.count -
གྲིབ་མེད་	adj -
གྲིམས་	v.past -
གྲིལ	v.past -
གྲུ་གསུམ་	n.count -
གྲུ་གསུམ་པ་	adj -
གྲུ་ཆེན	n.count -
གྲུ་བཞི་པ་	adj -
གྲུབ	v.past -
གྲུབ་	v.past -
གྲུབ་ཆེན་	n.count -
གྲུབ་ཐོབ	n.count -
གྲུབ་ཐོབ་	n.count -
གྲུབ་པ	n.v.past -
གྲུབ་པ་	n.v.past -
གྲུབ་བ	n.v.past -
གྲུབ་བ་	n.v.past -
གྲེ་བ་	n.count -
གྲོ་	n.count -
གྲོ་བོ་ལུང་	n.prop -
གྲོག་པོ	n.count -
གྲོག་མོ	n.count -
གྲོག་ལྡན་ཁ་	n.count -
གྲོགས་	n.count -	v.fut.v.pres -	v.imp -	v.invar -
གྲོགས་དགའ་བཤེས་ཡུལ་མི་ཁྱིམ་མཛེས་	n.count -
གྲོགས་པོ	n.count -
གྲོགས་པོ་	n.count -
གྲོགས་མེད་	adj -
གྲོགས་ལྡན་	n.count -
གྲོང་	n.count -
གྲོང་ཁྱེར་	n.count -
གྲོང་ཆོག་	n.count -
གྲོང་འཇུག་	n.count -
གྲོང་ཡུལ་	n.count -
གྲོངས་	v.past -
གྲོན་པ་	n.v.past.n.v.pres -
གྲོལ་	v.fut.v.pres -	v.invar -	v.past -	v.past.v.pres -
གྲོལ་བ	n.v.fut.n.v.pres -	n.v.past -
གྲོལ་བ་	n.v.fut.n.v.pres -	n.v.past -
གྲོལ་ལམ་	n.count -
གྲོས་	n.count -
གྲྭ་པ་	n.count -
གྲྭ་པ་བུ་སློབ་	n.count -
གྲྭ་བུ་སློབ་	n.count -
གླ་	v.fut.v.pres -
གླགས་	v.invar -
གླང་པོ་ཆེ་	n.count -
གླངས་པ	dunno -
གླན་པ	n.v.past.n.v.pres -
གླིང་	n.count -
གླིང་པ	n.prop -
གླུ་	n.count -
གླུ་ཆུང་སྙན་	n.count -
གླུ་མ་དབྱངས་	n.count -
གླུ་ལེན་མཁན་	n.count -
གླེང་མོ	n.count -
གླེང་མོ་	n.count -
གླེན་པ་	n.v.past.n.v.pres -
གློ་བུ	adv.temp -
གློག་	n.count -	v.pres -
གློགས་པ་	n.v.past -
གློང་འདའ་	n.prop -
ང	p.pers -
ང་	p.pers -
ང་ཅན་	n.count -
ང་བ	n.v.fut.n.v.pres -
ང་རྒྱལ་	n.count -
ངག་	n.count -
ངག་མཐུ་	n.count -
ངང་	n.count -	n.rel -
ངན་	n.count -	v.fut.v.pres -	v.invar -
ངན་གཡོ་	n.count -
ངན་གཡོ་ཆེ་	n.count -
ངན་པ	adj -	n.v.past.n.v.pres -
ངན་པ་	n.v.past.n.v.pres -
ངན་པོ	adj -
ངན་པོ་	adj -
ངན་འགྲོ་	n.count -
ངན་རྩ་	n.prop -
ངན་སོང་	n.count -
ངན་སྔགས་	n.count -
ངམ	cv.ques -
ངམ་	cv.ques -
ངར་ཆིལ་	n.count -
ངར་བ་	n.v.fut.n.v.pres -
ངར་འདོན་	dunno -
ངུ་	n.count -	v.fut.v.pres -	v.pres -
ངུ་ངག་	n.count -
ངུ་ཆོང་	n.count -
ངུ་དོན་	n.count -
ངུ་བ	n.v.fut.n.v.pres -
ངུ་བ་	n.v.fut.n.v.pres -
ངུ་ཙི་	n.count -
ངུར་སྨྲིག་	n.mass -
ངུས་	v.past -
ངུས་པ	n.v.past -
ངུས་པ་	n.v.past -
ངེ་	cv.ques -
ངེད་	p.pers -
ངེས	v.invar -
ངེས་དོན་	n.count -
ངེས་པ	n.v.invar -
ངེས་པ་	n.v.invar -
ངེས་པ་ཅན་	adj -
ངེས་མེད་	adj -
ངེས་འབྱུང་	adj -	n.count -
ངེས་ཤེས་	n.count -
ངོ་	cv.fin -	n.count -
ངོ་ཆེན་	n.count -
ངོ་དག	n.count -
ངོ་བོ་	n.count -
ངོ་མཚར་	adj -	n.count -
ངོ་ལྐོག་	n.count -
ངོ་སྤྲོད་ལུང་བསྟན་	n.count -
ངོམ་པ	n.v.invar -
ངོམས་པ	n.v.invar -
ངོས་	n.count -
ངོས་མད་	dunno -	n.count -
ཅང་	cl.focus -
ཅབ་ཙབ་	n.count -
ཅམ་	v.invar -
ཅི	p.interrog -
ཅི་	p.interrog -
ཅི་གསུང་	n.count -
ཅི་བྱུང་	n.count -
ཅི་བྱེད་	n.count -
ཅི་ཡོད་	adj -
ཅིག	cv.imp -	d.indef -
ཅིག་	cv.imp -	d.indef -
ཅིག་པ་	adj -
ཅིང་	cv.impf -
ཅུ	num.card -
ཅུ་	num.card -
ཅུང་	dunno -
ཅུང་ཟད་	adv.intense -	d.plural -	dunno -	n.count -
ཅུད	v.invar -
ཅེ་རེ་	adv.mim -
ཅེས་	cl.quot -
ཅེས་པ	cl.quot -
ཆ་	n.count -
ཆ་བ	n.v.fut.n.v.pres -
ཆ་བ་	n.v.fut.n.v.pres -
ཆ་བྱད་	n.count -
ཆ་རྐྱེན་	n.count -
ཆ་ལག	n.count -
ཆ་ལུགས་	n.count -
ཆག་	v.invar -	v.past.v.pres -
ཆག་པ	n.v.invar -
ཆག་པ་	n.v.invar -	n.v.past -
ཆགས་	v.fut.v.pres -	v.invar -
ཆགས་པ་	n.v.invar -
ཆང་	n.count -	n.mass -
ཆང་འདྲེན་	n.count -
ཆང་ལྷག་	n.count -
ཆང་ས་	n.count -
ཆང་སྟོན་	n.count -
ཆངས་	n.count -
ཆད་	v.invar -	v.past.v.pres -
ཆད་དོན་	n.count -
ཆད་པ	n.v.invar -
ཆད་པ་	n.v.invar -
ཆད་བ་	n.v.invar -
ཆད་མདོ་	n.count -
ཆད་མེད་རྟ	n.count -
ཆམ་པ་	n.count -
ཆར་ཁེབས་	n.count -
ཆར་བ་	n.count -
ཆར་ཡིབ་	n.count -
ཆར་རླུང་	n.count -
ཆས་	n.count -	v.invar -	v.past.v.pres -
ཆས་པ	n.v.invar -
ཆས་པ་	n.v.invar -
ཆིག་བརྒྱུད་	n.count -
ཆིངས་	v.imp -
ཆིལ་	v.imp -
ཆིལ་བ་	n.v.imp -
ཆུ	n.mass -
ཆུ་	n.mass -
ཆུ་ཕོགས་	n.count -
ཆུ་བར་	n.prop -
ཆུ་བོ	n.count -
ཆུ་མེ་ཤིང་	n.mass -
ཆུ་རྒྱུན་	n.count -
ཆུ་ལོག་	n.count -
ཆུ་སྡོར་	n.count -	n.mass -
ཆུ་སྣ་	n.count -
ཆུག	v.imp -
ཆུག་	v.fut.v.pres -	v.imp -	v.pres -
ཆུག་པ	n.v.fut.n.v.pres -
ཆུང་	v.pres -
ཆུང་ངུ་	adj -
ཆུང་བ	n.v.invar -
ཆུད་པ	n.v.invar -
ཆུམ་པ་	n.v.invar -
ཆེ	v.pres -
ཆེ་	v.pres -
ཆེ་གེ་མོ་	adj -
ཆེ་ཐབས་	n.v.pres -
ཆེ་བ	n.v.pres -
ཆེ་བ་	n.v.pres -
ཆེ་འདོན	n.count -
ཆེ་འདོན་	n.count -
ཆེ་རྒྱུ་	n.v.pres -
ཆེད་	n.rel -
ཆེད་གཉེར་	adj -
