།	punc -
ཅི	p.interrog -
ཅི་	p.interrog -
ཅིག	cv.imp -	d.indef -
ཅིག་	cv.imp -	d.indef -
ཅིག་ཅར་	adj -
ཅིག་ཅར་བ་	adj -
ཅིག་ཆར་	adv.temp -
ཅིག་ཆར་བ་	adj -
ཅིང	cv.impf -
ཅིང་	cv.impf -
ཅུ་	num.card -
ཅུང་	adv.intense -	dunno -
ཅུང་ཙམ་	adv.intense -
ཅུང་ཟད་	adv.intense -	d.plural -
ཅུང་ཟེད་	adv.intense -
ཅེ་སྤྱང་	n.count -
ཅེས	cl.quot -
ཅེས་	cl.quot -
ཅེས་པ་	cl.quot -
ཅོད་པན་	n.count -
ཆ་	n.count -
ཆ་བྱད་	n.count -
ཆ་རྐྱེན་	n.count -
ཆ་ལུགས་	n.count -
ཆ་ལུགས་ཅན་	adj -
ཆག	v.invar -
ཆག་	v.invar -	v.past -
ཆག་ཕྱི་	n.count -
ཆག་ཕྱི་བ་	n.count -
ཆགས	v.invar -
ཆགས་	v.fut.v.pres -	v.invar -	v.past -
ཆགས་པ་	n.v.fut.n.v.pres -
ཆགས་ལམ་ཏེང་འཛིན་	n.count -
ཆང་	n.mass -
ཆང་འཚོང་	n.count -
ཆད	v.fut.v.pres -
ཆད་	n.count -	v.invar -	v.past -
ཆད་པ	n.v.fut.n.v.pres -	n.v.invar -	n.v.past -
ཆད་པ་	n.v.invar -
ཆད་མདོ་	n.count -
ཆད་མེད	adj -
ཆད་མེད་	adj -
ཆབས་མཐུར་	n.count -
ཆར་	n.count -
ཆར་ཆུ་	n.count -
ཆར་རྒྱུན་སྤྲུལ་པ	n.count -
ཆས་	n.count -	v.invar -	v.past.v.pres -
ཆས་པ	n.v.invar -
ཆས་པ་	n.v.invar -
ཆིག་བརྒྱུད་	n.count -
ཆིངས་	n.count -
ཆིབས	v.pres -
ཆིབས་	n.count -	v.pres -
ཆིབས་པ	n.v.pres -
ཆིབས་པ་	n.v.pres -
ཆུ	n.mass -
ཆུ་	n.count -	n.mass -
ཆུ་ཁ་	n.count -
ཆུ་གཏེར་གླིང་	n.count -
ཆུ་བོ	n.count -
ཆུ་བོ་	n.count -
ཆུ་མི་ཟན་དུག་	dunno -
ཆུ་ཟངས་	n.count -
ཆུ་འགྲམ་	n.count -
ཆུ་འཐབ་	n.count -
ཆུ་འཕྲང་	n.count -
ཆུ་རིས་	n.count -
ཆུ་རྒྱུན་	n.count -
ཆུ་ལྕགས་	dunno -
ཆུག	v.imp -
ཆུག་	v.imp -
ཆུང་	v.pres -
ཆུང་ངུ	adj -
ཆུང་ངུ་	adj -
ཆུང་བ	n.v.fut.n.v.pres -	n.v.invar -
ཆུང་བ་	n.v.invar -
ཆུད	v.invar -
ཆུད་	dunno -	v.invar -	v.past -
ཆུད་པ	n.v.invar -
ཆུད་པ་	n.v.invar -
ཆེ	v.pres -
ཆེ་	v.pres -
ཆེ་ཁ	n.count -
ཆེ་ཁྱད་	n.count -
ཆེ་ཆེ་	adj -
ཆེ་ཐབས་	n.v.pres -
ཆེ་བ	n.v.pres -
ཆེ་བ་	n.v.pres -
ཆེ་མཁས་	n.count -
ཆེ་འདོན་	n.count -
ཆེ་རྒྱུ་	n.v.pres -
ཆེན་པ	adj -
ཆེན་པ་	adj -
ཆེན་པོ	adj -
ཆེན་པོ་	adj -
ཆེན་བོ	adj -
ཆེན་མོ་	adj -
ཆེས	v.fut.v.pres -
ཆེས་	v.fut.v.pres -	v.invar -	v.past -
ཆེས་པ	n.v.invar -	n.v.past -
ཆེས་པ་	n.v.past -
ཆེས་པོ་	adj -
ཆོ་	dunno -
ཆོ་ག	n.count -
ཆོ་ག་	n.count -
ཆོ་བ	n.v.invar -
